generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,api_key_disabled,api_key_name,app_name
gen-1788483811-I6J5pDG62toDYwHJOuCy,2026-09-04 01:03:31.108,0.001319,,,,0,3562,506,462,0,openai/gpt-5.6-luna-pro-20260709,Azure,standard,false,true,,completed,stop,9336,5881,false,hermes-ppn,Hermes Agent
gen-1788483805-JyJ0ro8Dzhd1JodrmHqw,2026-09-04 01:03:24.781,0.002499,,-0.007476,,0,152896,209,47,152576,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,5381,3144,false,hermes-ppn,Hermes Agent
gen-1788483799-CpxIb0m8oBvLi27cpFP9,2026-09-04 01:03:19.203,0.002482,,-0.007463,,0,152616,143,0,152320,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,3001,1194,false,hermes-ppn,Hermes Agent
gen-1788483782-oKKQR4czIQBc6OGMPNWW,2026-09-04 01:03:02.703,0.001175,,,,0,392,235,233,0,google/gemini-3.6-flash-20260721,Google,standard,false,true,,STOP,stop,1888,1307,false,hermes-ppn,Hermes Agent
gen-1788483778-o2TMDJgNG1l6zCjlECtL,2026-09-04 01:02:58.458,0.002789,,-0.00715,,0,152175,269,79,145920,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,3510,1204,false,hermes-ppn,Hermes Agent
gen-1788483774-SHwgijVTysCZcdwwNAQ8,2026-09-04 01:02:54.017,0.002582,,-0.006949,,0,145945,253,44,141824,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,3708,835,false,hermes-ppn,Hermes Agent
gen-1788483760-ISoIdNXHsdS259G60QR5,2026-09-04 01:02:40.359,0.009248,,,,0,141631,238,39,0,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,8745,6021,false,hermes-ppn,Hermes Agent
gen-1788483744-qy6C74UFDXTiZ6hqlyI3,2026-09-04 01:02:24.372,0.133853,,-0.084634,,0,544320,422,312,273014,openai/gpt-5.6-luna-pro-20260709,Azure,standard,false,true,,completed,tool_calls,11376,11104,false,hermes-ppn,Hermes Agent
gen-1788394873-aekpjFxnHp8mC8a86INP,2026-09-03 00:21:13.887,0.08264,,-0.151948,,0,564025,4988,569,422078,openai/gpt-5.6-luna-pro-20260709,Azure,standard,false,true,,completed,tool_calls,17661,17530,false,hermes-ppn,Hermes Agent
gen-1788394850-VfWOPkuRbzNaEh2O7nEJ,2026-09-03 00:20:50.636,0.085836,,-0.147775,,0,559415,5470,534,411509,openai/gpt-5.6-luna-pro-20260709,Azure,standard,false,true,,completed,tool_calls,22946,22411,false,hermes-ppn,Hermes Agent
gen-1788394824-lCfMsgSDDwopJRIARBrA,2026-09-03 00:20:23.998,0.076497,,-0.148143,,0,551248,2301,582,411509,openai/gpt-5.6-luna-pro-20260709,Azure,standard,false,true,,completed,tool_calls,26287,25943,false,hermes-ppn,Hermes Agent
gen-1788394807-1LQX4r7Qgp2BYv20yP7V,2026-09-03 00:20:07.537,0.06601,,-0.145545,,0,521360,1673,915,404574,openai/gpt-5.6-luna-pro-20260709,Azure,standard,false,true,,completed,stop,15814,15591,false,hermes-ppn,Hermes Agent
gen-1788394799-GbXLns648xeVl73eNcld,2026-09-03 00:19:59.389,0.001001,,,,0,3190,303,259,0,openai/gpt-5.6-luna-pro-20260709,Azure,standard,false,true,,completed,stop,5163,3740,false,hermes-ppn,Hermes Agent
gen-1788394789-0pXX3aggf5QOTgOip7Y8,2026-09-03 00:19:49.271,0.06338,,-0.145376,,0,517784,913,644,403824,openai/gpt-5.6-luna-pro-20260709,Azure,standard,false,true,,completed,tool_calls,9978,9768,false,hermes-ppn,Hermes Agent
gen-1788394773-4WzS77igJnEmdy9J4XV3,2026-09-03 00:19:33.018,0.064319,,-0.144482,,0,515907,1355,1041,401341,openai/gpt-5.6-luna-pro-20260709,Azure,standard,false,true,,completed,tool_calls,13486,13285,false,hermes-ppn,Hermes Agent
gen-1788394760-mkKoU6nEQrMVA7MVNhul,2026-09-03 00:19:20.945,0.001427,,,,0,3697,573,529,0,openai/gpt-5.6-luna-pro-20260709,Azure,standard,false,true,,completed,stop,7140,6063,false,hermes-ppn,Hermes Agent
gen-1788394733-oenBOgfpVKFYqr5XbkKc,2026-09-03 00:18:53.292,0.06886,,-0.140642,,0,513739,2226,1324,391410,openai/gpt-5.6-luna-pro-20260709,Azure,standard,false,true,,completed,tool_calls,27232,26896,false,hermes-ppn,Hermes Agent
gen-1788394721-Omgpmte5nkcYseRORHn6,2026-09-03 00:18:41.992,0.061597,,-0.140786,,0,504056,423,277,391147,openai/gpt-5.6-luna-pro-20260709,Azure,standard,false,true,,completed,tool_calls,10796,7917,false,hermes-ppn,Hermes Agent
